FIPS,Pred0,Pred1,Pred2,Pred3,80_0,80_1,80_2,80_3,Actual
20109,353.7323197943125,265.66,294.16693,272.0,Jan-05-2022,Oct-09-2021,Nov-07-2021,Oct-16-2021,
20111,335.79079896580356,293.93,257.7668,275.0,Dec-08-2021,Oct-27-2021,Sep-21-2021,Oct-09-2021,
20113,346.04968338066413,310.68,261.85742,327.0,Dec-19-2021,Nov-13-2021,Sep-25-2021,Nov-30-2021,
20115,338.1615157220913,276.04,254.95628,268.0,Dec-16-2021,Oct-15-2021,Sep-23-2021,Oct-07-2021,
20117,368.22932605589705,261.11,302.16995,316.0,Jan-16-2022,Oct-01-2021,Nov-11-2021,Nov-25-2021,
20119,367.8299566000348,263.91,301.48663,272.0,Jan-18-2022,Oct-06-2021,Nov-13-2021,Oct-15-2021,
20121,341.3457266464032,259.32,279.9689,315.0,Dec-14-2021,Sep-23-2021,Oct-13-2021,Nov-18-2021,
20123,330.70577613484807,255.94,270.9326,336.0,Dec-23-2021,Oct-09-2021,Oct-24-2021,Dec-29-2021,
20125,352.62146564276753,265.11,298.5527,314.0,Jan-12-2022,Oct-17-2021,Nov-19-2021,Dec-05-2021,
20127,380.2165330054517,264.79,305.0476,283.0,Feb-09-2022,Oct-16-2021,Nov-26-2021,Nov-04-2021,
20129,347.54395622264394,268.63,285.76437,313.0,Jan-01-2022,Oct-14-2021,Oct-31-2021,Nov-28-2021,
20131,353.97647384289974,265.04,291.55154,314.0,Dec-25-2021,Sep-28-2021,Oct-24-2021,Nov-16-2021,
20133,355.33511500824983,263.63,290.9255,313.0,Dec-28-2021,Sep-27-2021,Oct-24-2021,Nov-16-2021,
20135,321.240264446797,257.08,260.14786,315.0,Nov-30-2021,Sep-27-2021,Sep-30-2021,Nov-24-2021,
20137,343.9374060971153,268.22,289.89886,272.0,Dec-16-2021,Oct-02-2021,Oct-23-2021,Oct-06-2021,
20139,374.28635903710534,265.51,317.19455,314.0,Jan-17-2022,Sep-30-2021,Nov-21-2021,Nov-18-2021,
20141,364.15946623871366,261.59,291.77,295.0,Jan-11-2022,Sep-30-2021,Oct-30-2021,Nov-03-2021,
20143,336.76229572507077,261.51,276.88046,295.0,Dec-14-2021,Sep-30-2021,Oct-15-2021,Nov-03-2021,
20145,328.44068852673496,270.97,255.60954,281.0,Dec-12-2021,Oct-15-2021,Sep-30-2021,Oct-26-2021,
20147,361.3139680899753,267.02,302.85583,316.0,Jan-09-2022,Oct-07-2021,Nov-11-2021,Nov-25-2021,
20149,334.3259232951695,260.78,267.9238,299.0,Dec-11-2021,Sep-28-2021,Oct-05-2021,Nov-06-2021,
20151,386.50648554351676,263.45,316.73273,315.0,Jan-26-2022,Sep-25-2021,Nov-17-2021,Nov-16-2021,
20153,337.82324969579827,253.2,270.97485,297.0,Dec-11-2021,Sep-18-2021,Oct-05-2021,Nov-01-2021,
20155,343.5539905726005,300.98,262.24695,331.0,Dec-28-2021,Nov-15-2021,Oct-08-2021,Dec-16-2021,
20157,319.70292978650394,303.37,266.33054,308.0,Nov-27-2021,Nov-11-2021,Oct-05-2021,Nov-16-2021,
20159,352.40767520238194,264.14,274.8786,297.0,Jan-03-2022,Oct-07-2021,Oct-17-2021,Nov-09-2021,
20161,355.9015605015557,249.05,269.26663,297.0,Jan-03-2022,Sep-19-2021,Oct-09-2021,Nov-06-2021,
20163,342.0865643222839,264.23,266.24884,314.0,Dec-16-2021,Sep-29-2021,Oct-01-2021,Nov-18-2021,
20165,378.7886323951187,256.07,293.28265,262.0,Jan-05-2022,Sep-05-2021,Oct-12-2021,Sep-11-2021,
20167,337.4799699244088,252.97,262.83246,297.0,Dec-29-2021,Oct-05-2021,Oct-15-2021,Nov-19-2021,
20169,346.60832017423417,248.67,278.82706,297.0,Dec-17-2021,Sep-10-2021,Oct-10-2021,Oct-29-2021,
20171,352.43399711234656,265.27,297.35162,314.0,Dec-26-2021,Sep-30-2021,Nov-01-2021,Nov-18-2021,
20173,345.53480060085496,268.29,279.82257,314.0,Dec-31-2021,Oct-15-2021,Oct-26-2021,Nov-30-2021,
20175,396.71302148654394,264.09,324.13046,283.0,Feb-07-2022,Sep-28-2021,Nov-27-2021,Oct-17-2021,
20177,347.8387456520244,266.09,265.03592,308.0,Dec-25-2021,Oct-05-2021,Oct-04-2021,Nov-16-2021,
20179,334.7838875531279,284.7,243.022,325.0,Dec-05-2021,Oct-16-2021,Sep-05-2021,Nov-26-2021,
20181,390.1446549882909,264.49,306.06302,314.0,Feb-15-2022,Oct-12-2021,Nov-23-2021,Dec-01-2021,
20183,360.96987836933994,264.89,302.34827,313.0,Jan-11-2022,Oct-07-2021,Nov-14-2021,Nov-25-2021,
20185,381.18418624885425,263.74,305.79144,314.0,Jan-24-2022,Sep-28-2021,Nov-09-2021,Nov-18-2021,
20187,372.0783916279809,259.75,274.4896,305.0,Jan-13-2022,Sep-22-2021,Oct-07-2021,Nov-07-2021,
